title,author,category,rating,description,url
遇见未知的自己 : 都市身心灵修行课,张德芬 著,都市,7.8,张德芬 著 / 范薇 绘 / 湖南文艺出版社 / 2012-10-1 / 29.00元,https://book.douban.com/subject/19955069/
都市风流,孙力,都市,7.9,孙力 / 余小惠 / 人民文学出版社 / 2019-4-1 / 45.00元,https://book.douban.com/subject/34432060/
都市风景线,刘呐鸥,都市,7.4,刘呐鸥 / 百花文艺出版社 / 2005年5月1日 / 13.0,https://book.douban.com/subject/1392648/
砂女 : 安部公房都市失踪三部曲,[日] 安部公房,都市,8.4,[日] 安部公房 / 于荣胜 / 华东师范大学出版社 / 2014-4 / 23.00元,https://book.douban.com/subject/25885021/
远去的都市 : 1950年代的上海,张济顺,都市,8.1,张济顺 / 社会科学文献出版社 / 2015-4 / 79.00元,https://book.douban.com/subject/26365770/
悬浮 : 异乡人的都市生存,严飞,都市,6.8,严飞 / 广西师范大学出版社 / 2022-11 / 68,https://book.douban.com/subject/36116450/
从白令海开始的淘金生涯,都市小白,都市,0.0,穿越在米国的一个淘金世家，意外觉醒能探测黄金的金手指。面对日益上涨的金价，杰森毅然决然踏上了淘金之路！从白令海起航，杰森不断追寻黄金脚步，哪里有黄金哪里就有杰森，最终成为一代淘金王者！一切都要从05年的白令海开始！,https://m.qidian.com/book/1048717404
无限恐怖之重振法爷荣光,都市摸金,诸天无限,0.0,这一年，主神的兑换选项还很贫瘠，没有那么多的烂强强化，没有那么多的轮椅兑换。江北放弃了一步登天的想法，只想凭借天生的精神力能力成为团队雷达，活到生化终章不死于打神石流血debuff就算胜利。那一刻，江北亲眼看到了奥术师启蒙强化凭空出现在主神兑换列表中。江北必须考虑这是不是此生唯一的机会……重振法爷荣光，我辈义不容辞！这一切的故事都源于这一年，江北坐着心爱的小轮椅催眠自己进入咒怨，只为给楚轩送终。（,https://m.qidian.com/book/1050038089/
都市大荒,楚山幽,都市,0.0,2010年中秋假期，一场连环碎尸案打破了小城宁静。精通机巧傀儡术、自称来自“大宋”的偃师少女在钢筋混凝土街巷中寻找回家的路。昏暗教室里，身首异处的高中少年再度睁开双眼，指尖勾勒出湛蓝光线。“我叫李昭垣，所有杀死我的，都会让我更强大。”...停滞的齿轮开始旋转，少年手机里那款沉寂已久的大荒游戏文本更新：【异乡人，你从石棺中苏醒_】【你爬出无名孤冢，从黑暗中醒来......】【空气中弥漫着岁月沉积的陈,https://m.qidian.com/book/1048239420
都市极品医神,风会笑,都市,0.0,【火爆爽文】五年前，废物叶辰犹如地上蠕虫般被人耻笑！但是五年后，他带着一百位上古大能回来了！ 吊打一切，谁与争锋！,https://www.hongxiu.com/book/12135613204254303
都市猎人,都市猎人,都市,0.0,我们眼中的世界，真的就像我们所看到的那样吗？万千生物中，是否真的只有人类一种智慧生物？我们总以为自己了解这个世界，但真的如此吗？现代 都市 中，总有一些我们所不知道的奇异生灵，同样，也有一些我们不知道的猎人。来吧，走进本书，带你领略不一样的都市，不一样的异闻传奇！————————建立了个读者群，大家有兴趣可以进群侃侃大山。群号：488460986,https://m.qidian.com/book/1003477570
穿越后，帅哭漫展无数coser,都市怪谈,都市,0.0,穿越以后，秦凡跟系统融合度太高，导致相貌获得了惊人提升，帅的让人发狂。去漫展，无数coser抱着他的腿不让他走。去直播，各路富婆疯狂砸钱，只为线下看他一眼。男网友：哥，求求你以后别出门了，我老婆都在你家小区蹲了半个月没回来了。女网友：呜呜呜，帅哥，求求你看看我吧……,https://m.qidian.com/book/1038863870
幕后：人在东京，为所欲为,都市反派,轻小说,0.0,街道上突然自焚的政客。被落雷天罚的雅库扎。无罪恶魔骤然的器官衰竭。一双看不见的手执掌东京。神秘的男人藏身于幕后。静静欣赏着新世界的诞生。,https://m.qidian.com/book/1038344137/
地球异常之门,都市白丁,科幻,0.0,天坞是地球异常之门？它…时空异常、生物入侵，文明乱入！可为了寻找生命的意义…就算许多先驱者为此付出生命；仍有前仆后继者探索它的秘密……,https://m.qidian.com/book/1023590397
定制非人类,都市白丁,都市,0.0,从难辨真假中醒来，他感觉身边的一切，都变得不正常了！正常毛线啊，连手指都长小萝莉了，能正常么？不正常的诸般乱入，须从重叠的异度空间开始。艾玛，我的身体成遗照，挂墙上了？说好的科学与未来呢？,https://m.qidian.com/book/1014905158
都市超级医圣,断桥残雪,都市,0.0,财法侣地，修行其实是一项非常耗钱的奢侈运动。无意中得到传说中修道，炼丹，医药学家葛洪的传承，淳朴的山里人葛东旭开始努力赚钱。当大多数人还在读高中时，他为了炼丹修行已经开始一边读书一边赚钱。当大多数人读大学还在为交女朋友的开销发愁时，他已经是一名老板。当大多数人大学毕业在为找工作四处投简历，当富二代开着跑车，在美女面前炫耀时，他已经是一名超级富一代，当然还是一名大隐隐于市的至尊医圣。,https://m.qidian.com/book/1004174819
盗墓，从被老胡挖出来开始,都市摸金,悬疑灵异,0.0,刚穿越盗墓世界就发现被埋进了棺椁里面怎么办？遇事不要慌，先拿起手机发个抖，指不定会火呢？不对，遇事不要慌，会有老胡来盗墓。老胡：“啊对对对！第一次实操就挖出个甩不掉惹不起的活祖宗！”身负神秘青铜蛇首人神纹身，自己就是自己最大的金手指......风羲完全可以自豪的说：我风羲一生，全靠自己！,https://m.qidian.com/book/1038829565/
大凡仙途,都市老杨,仙侠,0.0,本是富家少爷因为一场政治斗争家破人亡，逃亡路上被意外救下却惨被利用，拼死逃出，拜入当地江湖小派，成为一名弟子。本以为就此一生，却意外踏入仙途。,https://m.qidian.com/book/1048805038
玄幻系列之-尔国临格,黄易,玄幻,6.8,黄易 / 华艺出版社 / 1999-03-01 / 16.80,https://book.douban.com/subject/1327650/
玄幻系列之-龙神,黄易,玄幻,6.2,黄易 / 华艺出版社 / 1999-3 / 10.80元,https://book.douban.com/subject/1513001/
玄幻系列之-光神,黄易,玄幻,6.3,黄易 / 华艺出版社 / 1999-03-01 / 9.8,https://book.douban.com/subject/1088517/
玄幻系列之-月魔,黄易,玄幻,6.6,黄易 / 华艺出版社 / 1999-03-01 / 9.8,https://book.douban.com/subject/1088515/
玄幻系列之-异灵,黄易,玄幻,6.7,黄易 / 华艺出版社 / 1999-03-01 / 11.8,https://book.douban.com/subject/1512442/
玄幻系列之-圣女,黄易,玄幻,6.4,黄易 / 华艺出版社 / 1999-03-01 / 9.8,https://book.douban.com/subject/1088514/
玄幻系列之-湖祭,黄易,玄幻,6.4,黄易 / 华艺出版社 / 1999-03-01 / 9.8,https://book.douban.com/subject/1088513/
斗罗之灵珠神剑,开局玄幻小猪,轻小说,0.0,新书，斗罗绝世:终焉神锋，诚邀各位书友大佬阅览。 少年天麟，携灵珠神剑武魂，横穿斗罗大陆，问鼎巅峰。 PS：不跟团，不拜大师。 PS2:这是主动漫的斗罗同人,https://www.hongxiu.com/book/22391628601118504
斗罗绝世：终焉神锋,开局玄幻小猪,轻小说,0.0,见习杀手诸葛幻，因一场莫名其妙的爆炸将他卷入时空乱流，灵魂穿越到了斗罗大陆，附身于一截名为终焉神木的奇物之上。以神木蕴神锋，克尽天地万物。平时是一个人畜无害的小白脸，小奶狗。一旦手握神锋，则化身战神，大狼狗。完全不同的两个形象，让他以不同的两种身份，游离于大陆各大势力之间。一场属于小猪的斗罗传奇，就此拉开序幕。克制大于天，特攻日神仙。数值我有，但我更靠机制！PS1：偏动漫同人，主角阵营：混乱善良，,https://m.qidian.com/book/1048749311/
斗罗之神火轩辕,开局玄幻小猪,轻小说,0.0,新书，斗罗绝世:终焉神锋，欢迎大家阅览斗2，绝世唐门同人。二度穿越的少年。神秘的武魂，不是轩辕剑的轩辕剑，不是火元素的火元素。他武魂真正的秘密是什么？家人被杀、自身被废，一身仇恨，阳光以待，灭之绝之。欠他的，他会全部讨回来！PS：偏动漫向同人，多女主,https://m.qidian.com/book/1043016797/
斗罗绝世：天丹魔虎,开局玄幻小猪,轻小说,0.0,提示，第一章的不是主角哦，主角第二章才正式登场。穿越斗罗大陆，是戴家庶子的异形同位体，只可惜这戴家庶子只会舔，舔许久久，舔霍雨浩，舔到自己一无所有，所以对于这种人，我吞了他的武魂，毁了他的一切，彻底取代了他。他舔一切，而我，只舔“利益”。世人追求魂技的精妙，魂环的配比，讲究一个克制与机制。当霍雨浩的灵眸看穿我十倍魂力的运行轨迹，他却绝望地发现，自己的冰碧帝皇蝎根本冻不住我的行动。当邪魂师的力量掩盖,https://m.qidian.com/book/1046479144/
